id,name,category,city,country,latitude,longitude,website,email,phone,social,verified
211,Aura Ideas Private Limited,Other,New Delhi,India,28.5251333,77.2834821,https://auraideas.co.in/,,+91 98111 19034,,False
212,AURA FASHION,Other,New Delhi,India,28.648185,77.164014,https://qliqo.in/AURA-FASHION,,,,False
213,Hotel Aura IP Grand Karkardooma,Accommodation,New Delhi,India,28.6505011,77.30580210000001,https://iproyal.in/,,,,False
214,Hotel Aura Paharganj,Accommodation,New Delhi,India,28.6461685,77.2147244,,,+91 11 4308 0550,,False
215,Auradecor Pvt Ltd. ( Showroom ),Health & Wellbeing,Delhi,India,28.706093,77.1379582,https://www.auradecor.co.in/,,+91 80 4603 8155,,False
216,Aura Trading Co.,Other,Delhi,India,28.74691139999999,77.1072027,,,+91 98100 21934,,False
217,ASIAN AURA,Other,Delhi,India,28.7874023,77.0601812,http://www.asianaura.in/,,+91 99115 65588,,False
218,Aura Global Group,Health & Wellbeing,New Delhi,India,28.6123624,77.0671383,http://auraglobalgroup.com/,,+91 89264 48000,,False
219,Hotel De Aura Delhi Airport -T 3 (Under Kuber International),Accommodation,New Delhi,India,28.5490684,77.1299228,https://hotel-de-aura-delhi-airport-t-3.myjoonweb.com/,,,,False
220,Aura recruiters Pvt ltd,Other,Ghaziabad,India,28.6449193,77.3329809,https://aurarecruiters.com/,,+91 93110 27601,,False
221,Aura By Gautam Vedi,Other,New Delhi,India,28.4667054,77.1497381,,,+91 99112 27700,,False
222,Aura Bar,Other,New Delhi,India,28.600678,77.216166,https://claridges.com/new-delhi/dining-old/,,+91 11 3955 5000,,False
223,AURA,Other,Delhi,India,28.7172943,77.2647795,,,,,False
224,Aurafe,Other,New Delhi,India,28.6311713,77.2179183,http://aurafe.com/,,+91 99906 88550,,False
225,Aurora,Other,New Delhi,India,28.5555909,77.21583989999999,,,+91 95999 42053,,False
226,Aura,Other,New Delhi,India,28.4779345,77.1719648,http://auraisl.com/,,+91 18772872462,,False
227,AURA India,Other,New Delhi,India,28.5594601,77.267275,,,+91 98100 69960,,False
228,Aura Jewels,Other,Mumbai,India,19.1961847,72.858778,http://aurajewels.co.in/,,+91 86570 01588,,False
229,Aura,Other,Mumbai,India,19.2485061,72.84866319999999,,,,,False
230,Auraa Brand Consultants (Registered office),Other,Mumbai,India,19.1921909,72.8337093,https://auraa.co.in/,,+91 77200 18700,,False
231,AURA- Facility Management Services & Housekeeping Services in Mumbai,Other,Andheri,India,19.1483643,72.8284303,https://aurafacilitiesmanagement.com/,,+91 98204 03068,,False
232,Aura International Pvt. Ltd.,Other,नवी मुंबई,India,19.0490057,73.0256919,,,+91 98200 80603,,False
233,Aura Diamonds,Other,Mumbai,India,19.0644147,72.8641304,,,+91 22 2627 8685,,False
234,Aura,Other,Mumbai,India,19.0668522,72.8238614,,,,,False
235,AURA AROUND U (DEEPA AGARWAL - FASHION DESIGNER),Creative Industries,Mumbai,India,19.0632931,72.83280789999999,,,,,False
236,Aura Jewels,Other,Mumbai,India,19.1196325,72.8755848,https://aurajewels.co.in/,,+91 22 4027 5000,,False
237,Auraa Brand Consultants (Head Office),Other,Mumbai,India,19.1181972,72.8715011,https://auraa.co.in/,,+91 70300 91866,,False
238,Aura,Other,Mumbai,India,19.0953083,72.8412716,,,,,False
239,Aura Art Gallery,Creative Industries,Mumbai,India,19.0082821,72.8208377,http://www.auraart.in/,,+91 93288 77000,,False
240,Aura International,Other,Mumbai,India,19.187482,72.8356555,https://aura-international.ueniweb.com/?utm_campaign=gmb,,+91 77389 89164,,False
241,"Hotel Aura, Malad West",Accommodation,Mumbai,India,19.191394,72.8347337,http://hotelauramalad.com/,,+91 91368 12929,,False
242,Aura Appliances LLP,Other,Mumbai,India,19.1545692,72.9325063,,,+91 93241 70120,,False
243,Aura Gems,Other,Mumbai,India,18.9579218,72.8214222,,,+91 98200 82838,,False
244,World Trade Center Mumbai,Other,Mumbai,India,18.9145662,72.81794409999999,https://www.wtcmumbai.org/,,+91 22 6638 7272,,False
245,Aura Art,Creative Industries,Mumbai,India,19.0082821,72.8208377,https://www.artinfrasolutions.com/,,,,False
246,Aura Incense,Other,Mumbai,India,18.9388605,72.8371585,http://auraincense.com/,,+91 22 2269 3940,,False
247,Aura,Other,Kolkata,India,22.5346275,88.3493055,,,+91 96747 42428,,False
248,Aura Agencies,Other,Kolkata,India,22.5464876,88.3908158,,,+91 62890 33282,,False
249,Aura Events | Weddings & Events Experiences,Event Management,Kolkata,India,22.608439,88.4088591,https://auraevents.co/,,+91 80 6218 1340,,False
250,Sunrise Aura,Other,Kolkata,India,22.3921428,88.41722469999999,http://www.sunriseaura.com/,,,,False
251,Hotel Aura,Accommodation,Kolkata,India,22.5621811,88.35523119999999,https://www.hotelaura.in/,,+91 33 2265 1083,,False
252,Og Aura,Other,Kolkata,India,22.6894369,88.4457125,http://ogaura.ooulet.com/,,,,False
253,Aura by the Lake,Other,Kolkata,India,22.5651116,88.40339499999999,,,,,False
254,The Aura Salon Bangur,Health & Wellbeing,Kolkata,India,22.6075491,88.41058989999999,,,+91 76040 91399,,False
255,Aura Indie,Other,Narenrapur,India,22.5871586,88.364848,https://www.auraindie.in/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=11291505965961204497,,+91 70034 19640,,False
256,Aura India,Other,Kolkata,India,22.5687004,88.3488443,,,+91 98309 43777,,False
257,Auro India Financial Services,Other,Kolkata,India,22.5705041,88.35934680000001,http://aurofinn.com,,+91 33 2225 8412,,False
258,PT. AURALUXE INDONESIA Sunter (Aura Cantik),Other,,Indonesia,-6.143598300000001,106.8582013,,,,,False
259,Pt. Aura Universal Rasi,Other,,Indonesia,-6.2001693,106.8971045,https://ptaura.com/,,,,False
260,PT.Aura CANTIK,Other,,Indonesia,-6.161156,106.8366834,,,,,False
261,"Aura Essentials Sency (PHYTO, THALGO, MAVALA, & KORRES)",Other,,Indonesia,-6.2277937,106.7966248,,,+62 21 72781132,,False
262,AURA DESIGN,Creative Industries,,Indonesia,-6.1713906,106.9739342,http://theauradesign.com/,,+62 21 29566768,,False
263,Aura Esport,Other,,Indonesia,-6.2715394,106.8123275,,,,,False
264,Aura Jaya - Alumunium dan kaca,Other,,Indonesia,-6.206970600000001,106.7855075,https://linktr.ee/aurajaya.id,,+62 878-8888-3103,,False
265,Aura Design Studio,Creative Industries,,Indonesia,-6.210249,106.8112551,,,,,False
266,Aura,Other,,Indonesia,-6.188805299999999,106.8118987,,,,,False
267,Aura House Bali,Other,,Indonesia,-8.5739401,115.2140458,https://aurahouse-bali.com/,,+62 811-3922-254,,False
268,Aura Property Group Indonesia,Other,,Indonesia,-8.7895118,115.1869672,https://www.aurakreasindo.com/,,+62 812-2233-3656,,False
269,Aura Boutique & Spa center,Health & Wellbeing,,Indonesia,-8.335064,115.6417148,https://www.aura-spa-center.com/,,+62 812-6712-3636,,False
270,Aura Bali Trans,Other,,Indonesia,-8.624719100000002,115.1966232,http://www.aurabalitrans.com/,,,,False
271,Aura Art Gallery indonesia,Creative Industries,,Indonesia,-8.683952399999999,115.1874682,,,,,False
272,PT. Aura Bali Craft,Other,,Indonesia,-8.6054133,115.1711322,http://www.aurabalicraft.com/,,+62 813-3828-5434,,False
273,Paper Bag Sanur,Other,,Indonesia,-8.688537799999999,115.2561097,http://www.instagram.com/aurabaligrafika,,+62 895-3825-98847,,False
274,Aura Sauna,Health & Wellbeing,,Indonesia,-8.8269299,115.1886194,https://www.instagram.com/aura_sauna_bali/,,+62 859-5535-6280,,False
275,AURA apartments,Creative Industries,,Indonesia,-8.4992953,115.2694434,https://aura-bali.com/,,+62 821-4750-8441,,False
276,Auraku Cabang Bali,Other,,Indonesia,-8.6300329,115.2181834,,,+62 819-3608-2286,,False
277,Aura Bali,Other,,Indonesia,-8.682512,115.226226,,,+62 361 223109,,False
278,Cafe AURA,Other,Tehran,Iran,35.7504821,51.3980116,,,,,False
279,کافه آئورا,Other,Tehran,Iran,35.7056422,51.3460117,,,,,False
280,Aura Coffee,Other,Baghdad,Iraq,33.3113691,44.3065082,https://www.instagram.com/auracoffee.iq?igsh=MXc2aHdzMXIxOTJvdA==,,,,False
281,Rawnaq Al-Dur Company,Other,Baghdad,Iraq,33.3118524,44.4197425,https://www.ra.iq/,,+964 773 344 6688,,False
282,ORA IRAQ HQ,Other,Baghdad,Iraq,33.3097876,44.342369,,,,,False
283,Aura Israel - Entrepreneurship and Investments Ltd.,Other,Tel Aviv-Jaffa,Israel,32.07406400000001,34.791789,http://www.auraisrael.co.il/he/,,+972 3-718-1910,,False
284,Aura Rabayoff Interior Design- אורה רביוף | תכנון ועיצוב פנים,Creative Industries,Jerusalem,Israel,31.7500781,35.20052829999999,https://idaurarabayoff.wixsite.com/aura-rabayoff,,+972 54-353-2740,,False
285,Aura Air,Other,Tel Aviv-Yafo,Israel,32.0666299,34.793175,,,+972 54-729-7997,,False
286,משרד מכירות AURA,Other,Ramat Hasharon,Israel,32.1301952,34.8523731,https://www.auraisrael.co.il/,,+972 3-718-1920,,False
287,AURA JAPON TOKYO,Other,Shibuya,Japan,35.6719688,139.7093112,https://www.aurajapon.com/,,+81 3-5843-0215,,False
288,AURA表参道,Other,Shibuya,Japan,35.6684864,139.7086729,,,,,False
289,Aura,Other,Shinjuku City,Japan,35.7044556,139.7321721,http://www.aura-net.jp/index2.html,,+81 3-3269-8361,,False
290,Aura omotesando,Other,Shibuya,Japan,35.6692768,139.7135774,https://beauty.hotpepper.jp/slnH000751541/,,+81 3-4400-7643,,False
291,Aura,Other,Chiyoda City,Japan,35.6920908,139.7418314,https://auracosme.net/aboutus.html,,+81 3-3512-3731,,False
292,Whisky & Wine Bar aura,Other,Shinjuku City,Japan,35.70197539999999,139.7391999,https://aura1001.com/,,+81 3-3528-9931,,False
293,Aura,Other,Shinjuku City,Japan,35.6904564,139.7084305,,,+81 3-6432-5175,,False
294,㈱オーロラ（AURORA）,Other,Taito City,Japan,35.7063493,139.7733151,http://www.aurora.jp/,,+81 3-3836-5678,,False
295,Aura,Other,Osaka,Japan,34.7067502,135.5030592,https://www.aurajapon.com/,,+81 6-6450-8344,,False
296,AURA,Other,Osaka,Japan,34.6698584,135.4980815,http://aurajapon.com/,,+81 6-6210-2850,,False
297,FDS AURA FDS オーラ,Other,Osaka,Japan,34.6784889,135.5088985,https://bijousuites.jp/facility/aura/,,+81 6-4394-7222,,False
298,Aura.,Other,Osaka,Japan,34.7151269,135.5560963,https://aura-hairsalon-official.com/?utm_source=GBP&utm_medium=GBP&utm_term=GBP&utm_content=GBP&utm_campaign=GBP,,+81 80-8314-0510,,False
299,AURA LONDON VINTAGE,Other,Osaka,Japan,34.6694988,135.4973172,https://www.aurajapon.com/,,+81 6-4708-3909,,False
300,AURA MILANO VINTAGE,Other,Osaka,Japan,34.6698654,135.4983003,https://www.aurajapon.com/store.html#milano,,+81 6-6484-5422,,False
301,Aura,Other,Osaka,Japan,34.6721886,135.4800109,https://www.aurainc.jp/,,+81 6-7507-2356,,False
302,ＡＵＲＡ,Other,Osaka,Japan,34.697251,135.500243,,,+81 6-6343-5552,,False
303,Aura,Other,大阪市北区,Japan,34.7086919,135.5105002,https://www.aura-office.co.jp/,,+81 6-6292-8577,,False
304,AURA NY VINTAGE,Other,Osaka,Japan,34.6694988,135.4973172,https://www.aurajapon.com/index.php,,+81 6-4708-3878,,False
305,（株）ａｕｒａ,Other,Osaka,Japan,34.6765239,135.5045477,,,+81 6-6125-1906,,False
306,AURA,Health & Wellbeing,Osaka,Japan,34.6763241,135.4988195,,,+81 6-6251-1460,,False
307,ＡＵＲＡ（弁護士法人）,Other,Osaka,Japan,34.678531,135.496277,,,+81 120-775-108,,False
308,Stationery Aura,Other,Osaka,Japan,34.7335066,135.5003035,https://www.arde-shinosaka.jp/shopguide/detail/15,,+81 6-6303-8517,,False
309,Oura,Other,Osaka,Japan,34.6986824,135.4991804,http://jisyushitsutakadanobaba.com/,,+81 6-6225-8976,,False
310,AURORA,Other,Osaka,Japan,34.6790476,135.5023918,,,,,False
311,AURA Kyoto,Other,Kyoto,Japan,35.0059287,135.7662788,https://www.aurajapon.com/,,+81 75-708-6443,,False
312,Aura Nail House & Spa,Health & Wellbeing,Amman,Jordan,31.9646666,35.8437793,http://www.instagram.com/aura.nailhouse,,+962 7 9912 5080,,False
313,AURA HAIR HOUSE,Other,Amman,Jordan,31.9589861,35.8686397,https://aurahairhouse.com/,,+962 7 9815 0974,,False
314,Aurora for Intelligent Systems,Other,Amman,Jordan,31.9916686,35.8490262,http://aurora-jo.com/,,+962 6 437 7038,,False
315,Aura Art Space,Health & Wellbeing,Amman,Jordan,31.9370702,35.8657446,,,+962 7 9990 9983,,False
316,Aura boutique,Other,Amman,Jordan,31.9973289,35.8300129,,,+962 7 8131 3720,,False
317,W Amman,Other,Amman,Jordan,31.9642141,35.90288049999999,https://www.marriott.com/en-us/hotels/ammwi-w-amman/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,,+962 6 510 8888,,False
318,ORA+ Nutrition &Wellbeing Center-Ola Asaad,Health & Wellbeing,Amman,Jordan,31.9463194,35.8603952,http://www.oraplus.me/,,+962 7 9745 3226,,False
319,Aura Shop,Other,عمّان,Jordan,31.9543786,35.9105776,,,+962 7 7608 0392,,False
320,Aura Group,Other,Lusail,Qatar,25.3842878,51.5224832,https://auragroup-intl.com/,,+974 4429 2222,,False
321,Amman Marriott Hotel,Accommodation,Amman,Jordan,31.9730247,35.905796,https://www.marriott.com/en-us/hotels/ammjr-amman-marriott-hotel/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,,+962 6 560 7607,,False
322,Nur,Other,Amman,Jordan,31.95988139999999,35.8811532,https://www.fairmont.com/en/hotels/amman/fairmont-amman/dining/nur-lebanese.restaurant.html?utm_source=google+Maps&utm_medium=seo+maps&utm_campaign=seo+maps,,+962 6 510 6000,,False
323,aurashopjo,Health & Wellbeing,Amman,Jordan,31.9656298,35.8793343,,,+962 7 9999 6065,,False
324,Aura,Other,Astana,Kazakhstan,51.0902877,71.42342599999999,,,+7 7172 62 56 25,,False
325,Aura ресторан,Other,Astana,Kazakhstan,51.095825,71.42048729999999,https://instagram.com/aura.nursultan?igshid=e5qstjg8jukw,,+7 771 165 6666,,False
326,Aura Kazakhstan | Roboclean | Cebilon,Other,Astana,Kazakhstan,51.143842,71.4623871,"http://www.cebilon.kz/,%20http://www.roboclean.kz/",,+7 701 006 3300,,False
327,AURA SU,Other,Astana,Kazakhstan,51.1722785,71.4320987,https://aurasu.kz/,,+7 702 000 0033,,False
328,Ресторан AURA Verdant,Other,Astana,Kazakhstan,51.1080432,71.43074709999999,,,,,False
329,Aura Hotel Almaty,Accommodation,Almaty,Kazakhstan,43.3067466,76.9307259,,,+7 705 673 5803,,False
330,Aura of Kazakhstan,Other,Almaty,Kazakhstan,43.2473102,76.9341137,http://www.aurakaz.com/,,+7 771 412 1144,,False
331,Aura Kazakhstan | Roboclean | Cebilon,Other,Алматы,Kazakhstan,43.2166688,76.85059179999999,http://www.roboclean.kz/.%20http://www.cebilon.kz/,,+7 701 006 3300,,False
332,AURA DESIGN,Creative Industries,Almaty,Kazakhstan,43.256477,76.9107275,,,+7 778 122 6809,,False
333,AURA | Kuwait,Other,مدينة الكويت,Kuwait,29.3767858,47.9850426,https://www.aura-kuwait.com/,,+965 2240 2688,,False
334,Aura Restaurant,Other,Kuwait City,Kuwait,29.37827769999999,47.99031910000001,,,+965 2232 0566,,False
335,ORA Japanese Tapas,Other,Kuwait City,Kuwait,29.3803608,47.9836732,,,+965 2227 5090,,False
336,OURA,Other,Al Kuwayt,Kuwait,29.3749811,47.989271,https://ouraevents.com/,,+965 410 00098,,False
337,AURA | آورا,Other,مدينة الكويت,Kuwait,29.3633301,47.9666737,https://bianca-nera.com/,,+965 2299 6559,,False
338,AURA,Other,Bishkek,Kyrgyzstan,42.8238083,74.6060711,,,+996 555 770 097,,False
339,Aura Kyrgyzstan | Roboclean | Cebilon,Other,Bishkek,Kyrgyzstan,42.8564985,74.608829,"https://www.cebilon.kg/,%20https://www.roboclean.kg/",,+996 771 596 065,,False
340,Aura Kyrgyzstan | Roboclean | Cebilon,Other,Bishkek,Kyrgyzstan,42.8556292,74.60222929999999,"https://www.cebilon.kg/,%20https://www.roboclean.kg/",,+996 771 596 065,,False
341,Aura-Cosmetics,Other,Bishkek,Kyrgyzstan,42.8760714,74.6145913,https://aura-cosmetics.kg/,,+996 558 570 741,,False
342,Avrora Plyus,Other,Bishkek,Kyrgyzstan,42.8611187,74.602302,http://www.auroraplus.kg/,,+996 550 002 257,,False
343,Olaa Shop,Other,Vientiane,Laos,17.9654049,102.6422992,https://www.olaa.la/#/,,+856 20 91 511 123,,False
344,ADRA Laos,Other,Vientiane,Laos,17.9613965,102.6307923,http://www.adralaos.org/,,+856 21 264 611,,False
345,Adventist Relief and Development Agency,Other,Vientiane,Laos,17.9580842,102.6285181,http://www.adralaos.org,,+856 21 264 611,,False
346,Aura Gems & Minerals,Other,Bayrut,Lebanon,33.8953794,35.4822289,http://www.instagram.com/auragemsco,,+961 70 403 210,,False
347,Aura Beirut,Other,Beirut,Lebanon,33.8774878,35.5351237,,,+961 3 501 080,,False
348,AURA Headpieces,Other,Bayrut,Lebanon,33.8974815,35.5245677,http://www.auraheadpieces.com/,,+961 1 570 356,,False
349,Aura beauty lounge,Health & Wellbeing,Bayrut,Lebanon,33.8829393,35.5183645,,,+961 3 244 073,,False
350,Aura-Fit Personal Training Center,Health & Wellbeing,Baabda,Lebanon,33.8943611,35.4755438,,,+961 70 312 140,,False
351,Aura,Other,Kuala Lumpur,Malaysia,3.1560227,101.7085209,,,+60 11-7245 8070,,False
352,Aura Regenerative Wellness Clinic,Health & Wellbeing,Kuala Lumpur,Malaysia,3.1418863,101.7189665,https://www.aura-regen.com/,,+60 12-886 6948,,False
353,Aura-Soma Mansion,Other,Kuala Lumpur,Malaysia,3.0620773,101.6758768,https://aura-soma.com.my/,,+60 17-772 8362,,False
354,Aura Security Services Sdn Bhd (Main Office),Other,Kuala Lumpur,Malaysia,3.0677206,101.6569269,https://www.aurasecurity.com.my/,,+60 3-7772 3831,,False
355,"Aura, Aura Aromatic, Aura Malaysia",Health & Wellbeing,Kuala Lumpur,Malaysia,3.1807194,101.6767592,https://shop.bf-1.com/,,+60 3-6257 6048,,False
356,Aura Rezeki Malaysia,Other,Kajang,Malaysia,2.8875395,101.7965268,https://www.aurarezeki.com.my/,,+60 10-334 3423,,False
357,Aura Marketing Sdn Bhd,Other,Shah Alam,Malaysia,3.0808172,101.5593436,,,+60 3-5569 4420,,False
358,Aura,Other,Petaling Jaya,Malaysia,3.1407921,101.6295082,,,,,False
359,Aura Clean Maintenance & Services,Other,Petaling Jaya,Malaysia,3.1762306,101.6190665,https://auraclean.my/,,+60 11-5535 5775,,False
360,AuRu.Co Studio,Creative Industries,Kuala Lumpur,Malaysia,3.1622262,101.742064,https://me-page.org/ExVGLcU,,+60 12-889 0834,,False
361,Aura Aromatic (M) Sdn Bhd,Health & Wellbeing,Kuala Lumpur,Malaysia,3.2086116,101.6187491,,,+60 3-6272 8388,,False
362,Aura Pool Bar & Cocktail Lab,Other,Malé,Maldives,4.248320800000001,73.36536989999999,https://www.hilton.com/en/hotels/mleaihi-hilton-maldives-amingiri-resort-and-spa/dining/aura-pool-bar-cocktail-lab/,,,,False
363,Aura Hair Beauty Studio,Health & Wellbeing,Malé,Maldives,4.1722795,73.51416329999999,,,+960 941-6340,,False
364,Aurora Hotel,Accommodation,Ulaanbaatar,Mongolia,47.9125709,106.8577575,http://aurorahotel.mn/,,+976 7007 0808,,False
365,Aurora Business Tower,Other,Yangon,Myanmar (Burma),16.8245884,96.16004269999999,http://www.aurorabusinesstower.com/,,+95 9 796 338900,,False
366,My Aura Aesthetic Clinic (Parami Branch),Health & Wellbeing,Yangon,Myanmar (Burma),16.8517168,96.1506606,https://www.myauraaesthetic.com/,,+95 9 777 998838,,False
367,My Aura Aesthetic Clinic (St. John Branch),Health & Wellbeing,Yangon,Myanmar (Burma),16.782697,96.14045589999999,http://www.myauraaesthetic.com/,,+95 9 770 333319,,False
368,Aura plus Distributor,Other,Yangon,Myanmar (Burma),16.7582169,96.1441497,,,+95 9 772 193129,,False
369,AURA,Other,Yangon,Myanmar (Burma),16.8244379,96.1575144,,,,,False
370,Radiant Aurora Marketing,Other,Yangon,Myanmar (Burma),16.8512285,96.1850798,https://radiantauroramarketing.asia/,,+95 9 958 624942,,False
371,AURA NEPAL,Other,Budhanilkantha,Nepal,27.7473132,85.3377069,,,,,False
372,Aura Engineering LLC الهالة للهندسة,Other,Muscat,Oman,23.5816898,58.3391935,https://www.auraoman.com/,,+968 9516 1676,,False
373,Aura De Arabia Perfume,Other,Muscat,Oman,23.6392854,58.2430489,https://www.auradearabia.com/,,+968 9980 2345,,False
374,Aura Beauty Station,Health & Wellbeing,Seeb,Oman,23.6230193,58.2602835,,,+968 9556 9696,,False
375,AURA CAFÉ,Other,Bidiyah,Oman,22.4450932,58.80547199999999,https://instagram.com/auracafe.om,,+968 9959 5656,,False
376,Aura Divers - Scuba Diving Courses Center in Muscat Oman,Other,Sib,Oman,23.6303525,58.2678234,https://www.auradivers.com/,,+968 9334 5252,,False
377,UBAR conferences & events,Event Management,مسقط,Oman,23.5881651,58.4132461,http://www.ubarconferences.com/,,+968 24 398767,,False
378,Aura Properties,Cities & Developments,Islamabad,Pakistan,33.7227407,73.08162709999999,https://www.aurabizz.com/,,+92 336 4000641,,False
379,Aura Apparel,Other,Islamabad,Pakistan,33.6671266,73.0736234,https://wa.me/c/923140855651,,+92 314 0855651,,False
380,AURA GOLD,Other,Islamabad,Pakistan,33.7208142,73.05748559999999,http://www.auragolds.com/,,+92 335 4727278,,False
381,Aura Grande Event Complex,Other,Islamabad,Pakistan,33.6962767,72.9885731,http://www.auragrande.com/,,+92 320 6668899,,False
382,Aura Square,Other,Islamabad,Pakistan,33.68314489999999,72.9907518,,,+92 334 5353757,,False
383,Aura Grande Enclave,Other,Islamabad,Pakistan,33.6933683,72.9858698,https://auragrande.com/,,+92 300 8966724,,False
384,Aura Consultant,Other,Islamabad,Pakistan,33.6678513,73.0780273,https://auraconsultant.com/,,+92 333 1777701,,False
385,Aura Premium Tea,Other,Islamabad,Pakistan,33.699038,72.9867175,https://aurapremiumtea.com/,,+92 334 1232555,,False
386,Aura Enterprise,Other,Islamabad,Pakistan,33.6667432,73.07388,http://auraenterprises.pk/,,+92 300 5363989,,False
387,AURORA PAKISTAN (Pvt.) Ltd,Other,Islamabad,Pakistan,33.5250921,73.1422779,https://aurorapakistan.com/,,+92 300 5008786,,False
388,Auraq Publications,Other,Rawalpindi,Pakistan,33.6515395,73.0722234,https://auraqpublications.com/,,+92 300 0571530,,False
389,Aura Land Marketing,Other,Islamabad,Pakistan,33.6154682,73.1386485,https://www.facebook.com/auralandcompany/,,+92 311 1777718,,False
390,Aura Grande Arena,Other,Rawalpindi,Pakistan,33.5330625,73.1104375,http://www.instgram.com/auragrandearena,,+92 320 6660140,,False
391,Aura Marketing,Other,Islamabad,Pakistan,33.6693215,72.9999393,http://www.auramarketing.pk/,,+92 334 5034761,,False
392,Aura Studio,Creative Industries,Karachi,Pakistan,24.9077913,67.08253859999999,,,+92 314 6583645,,False
393,SEVEN AURA Events,Event Management,Karachi,Pakistan,24.9098081,67.13619840000001,https://www.sevenauraevents.com/,,+92 339 2872777,,False
394,Aura Centre,Other,Karachi,Pakistan,24.9187058,67.13456579999999,https://www.facebook.com/SirAurangzeb.AuraCentre/,,+92 300 2628330,,False
395,Aura Solutions,Other,Karachi,Pakistan,24.9092214,67.0548948,,,+92 303 2661103,,False
396,Aura Engineering (Private) Limited,Other,Karachi,Pakistan,24.8422782,67.1064036,http://auraengineering.pk/,,+92 347 0919196,,False
397,Aura Furnish,Other,Karachi,Pakistan,24.7931591,67.066029,,,+92 300 9289989,,False
398,AURA Interiors,Other,کراچی,Pakistan,24.8148244,67.0713968,http://www.aurainteriors.pk/,,+92 300 2444377,,False
399,Aura Official Pk,Other,Karachi,Pakistan,24.8018124,67.0752896,https://auraofficialpk.com/,,+92 330 8270677,,False
400,Aura Concept Creator,Other,Karachi,Pakistan,25.0190481,67.1291222,http://auraconceptcreator.com/,,+92 315 2100030,,False
401,Aura International,Other,Karachi,Pakistan,24.8550011,67.1281381,https://www.aura.com.pk/,,,,False
402,Aura Travel & Tours,Other,Karachi,Pakistan,24.8512797,67.0292386,http://khazimatravelsandtours.online/,,+92 316 3334012,,False
403,AU Aurora Events Management,Event Management,Karachi,Pakistan,24.8282888,67.05964,,,+92 320 2881124,,False
404,Aura Fashion,Other,Karachi,Pakistan,24.8997801,66.99560319999999,http://www.aurafashionpk.com/,,+92 334 2226760,,False
405,Aura Pakistan,Other,Karachi,Pakistan,24.9057109,67.0292153,,,+92 327 2128518,,False
406,Aura.pk,Other,Lahore,Pakistan,31.45164699999999,74.295309,http://www.aura.pk/,,+92 321 3322113,,False
407,The Aura School,Other,Karachi,Pakistan,24.9183804,67.134219,http://theauraschool.com/,,+92 21 34010850,,False
408,AURA Salon,Health & Wellbeing,Karachi,Pakistan,24.9112606,67.1294056,,,+92 335 3554191,,False
409,Al Umeed Rehabilitation Association (AURA),Other,Karachi,Pakistan,24.9275146,67.1250084,http://www.alumeed.org/,,+92 335 3555246,,False
410,ORA Digital,Other,کراچی,Pakistan,24.8709683,67.0857037,,,+92 300 9315626,,False
411,AURA Handwash,Other,Karachi,Pakistan,24.971345,66.9511076,,,,,False
412,SM Aura Premier,Other,Taguig,Philippines,14.546001,121.053927,https://www.smsupermalls.com/mall-directory/sm-aura-premier/information/?utm_source=GMB&utm_medium=directory&utm_campaign=mall_hours,,,,False
413,Aura Thai,Health & Wellbeing,Cebu City,Philippines,10.312788,123.916393,,,,,False
414,Great Aura Spa Salon,Health & Wellbeing,Cebu City,Philippines,10.3067146,123.893664,,,+63 32 254 8593,,False
415,Ayala Center Cebu,Health & Wellbeing,Cebu City,Philippines,10.318237,123.9052295,https://www.ayalamalls.com/explore/ayala-center-cebu,,+63 32 888 3777,,False
416,SM Seaside City Cebu,Other,Cebu City,Philippines,10.2817312,123.8806068,https://www.smsupermalls.com/mall-directory/sm-seaside-city-cebu/information/?utm_source=GMB&utm_medium=directory&utm_campaign=mall_hours,,,,False
417,SM City Cebu,Other,Cebu City,Philippines,10.3114191,123.9178164,https://www.smsupermalls.com/mall-locator/sm-city-cebu/information/,,+63 32 231 0557,,False
418,Oakridge Business Park,Other,Mandaue,Philippines,10.3428639,123.9190946,http://www.oakridge.com.ph/,,+63 917 811 6862,,False
419,Ayala Malls Central Bloc,Other,Cebu City,Philippines,10.3306811,123.9073198,https://www.ayalamalls.com/main/malls/ayala-malls-central-bloc,,+63 32 410 8800,,False
420,Seda Central Bloc Cebu,Other,Cebu City,Philippines,10.3303975,123.9066683,https://centralbloccebu.sedahotels.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,,+63 32 410 8899,,False
421,Unitop - Cebu City,Creative Industries,Cebu City,Philippines,10.2969323,123.8977776,,,+63 32 255 1489,,False
422,Robinsons Cybergate Cebu,Other,Cebu City,Philippines,10.310201,123.8920317,http://robinsonsmalls.com/,,+63 32 505 8955,,False
423,SM Seaside City - Cube Wing,Other,Cebu City,Philippines,10.2818796,123.8827949,,,,,False
424,Gaisano Capital South,Other,Cebu City,Philippines,10.2959691,123.896604,http://www.gaisanocapital.com/,,+63 32 260 7888,,False
425,Elizabeth Mall,Other,Cebu City,Philippines,10.2983587,123.8953188,http://www.elizabethmall-cebu.com/,,+63 32 380 0090,,False
